id,title,department,employment_type,job_category,description,requirements,preferred_skills,salary_min,salary_max,work_location,work_hours,benefits,number_of_positions,status,published_at,deadline,notes,created_by_id,created_at,updated_at
j0001-0000-0000-0000-000000000001,正看護師（病棟）,看護部,full_time,正看護師,正看護師（病棟）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,400,550,東京都中央区,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,5,published,2025-11-01T19:20:55+09:00,2025-03-31,,u003,2025-10-13T19:20:55+09:00,2025-12-25T19:20:55+09:00
j0002-0000-0000-0000-000000000002,正看護師（外来）,看護部,full_time,正看護師,正看護師（外来）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,380,500,東京都中央区,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,3,published,2025-11-22T19:20:55+09:00,2025-03-31,,u005,2025-10-03T19:20:55+09:00,2025-12-27T19:20:55+09:00
j0003-0000-0000-0000-000000000003,准看護師（透析室）,看護部,full_time,准看護師,准看護師（透析室）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,340,420,東京都中央区,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,2,published,2025-11-04T19:20:55+09:00,2025-03-31,,u005,2025-10-21T19:20:55+09:00,2025-12-02T19:20:55+09:00
j0004-0000-0000-0000-000000000004,臨床検査技師,診療技術部,full_time,臨床検査技師,臨床検査技師の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,350,450,東京都中央区,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,2,published,2025-11-14T19:20:55+09:00,2025-03-31,,u003,2025-10-02T19:20:55+09:00,2025-12-13T19:20:55+09:00
j0005-0000-0000-0000-000000000005,診療放射線技師,診療技術部,full_time,診療放射線技師,診療放射線技師の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,380,480,東京都中央区,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,1,published,2025-11-20T19:20:55+09:00,2025-03-31,,u001,2025-10-09T19:20:55+09:00,2025-12-16T19:20:55+09:00
j0006-0000-0000-0000-000000000006,医療事務（受付）,事務部,full_time,医療事務,医療事務（受付）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,250,320,東京都中央区,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,3,published,2025-11-15T19:20:55+09:00,2025-03-31,,u005,2025-10-27T19:20:55+09:00,2025-12-08T19:20:55+09:00
j0007-0000-0000-0000-000000000007,医療事務（レセプト）,事務部,full_time,医療事務,医療事務（レセプト）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,280,350,東京都中央区,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,2,published,2025-11-07T19:20:55+09:00,2025-03-31,,u003,2025-10-21T19:20:55+09:00,2025-12-08T19:20:55+09:00
j0008-0000-0000-0000-000000000008,薬剤師,診療技術部,full_time,薬剤師,薬剤師の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,450,600,東京都中央区,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,1,published,2025-11-05T19:20:55+09:00,2025-03-31,,u003,2025-10-22T19:20:55+09:00,2025-12-05T19:20:55+09:00
j0009-0000-0000-0000-000000000009,理学療法士（リハビリ科）,診療技術部,full_time,理学療法士,理学療法士（リハビリ科）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,380,480,東京都中央区,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,2,paused,,2025-03-31,,u005,2025-10-25T19:20:55+09:00,2025-12-07T19:20:55+09:00
j0010-0000-0000-0000-0000000000010,看護助手,看護部,part_time,看護助手,看護助手の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,,,東京都中央区,シフト制,社会保険完備、交通費支給、賞与年2回,4,draft,,2025-03-31,,u004,2025-10-14T19:20:55+09:00,2025-12-22T19:20:55+09:00
