id,title,department,employment_type,job_category,description,requirements,preferred_skills,salary_min,salary_max,work_location,work_hours,benefits,number_of_positions,status,published_at,deadline,notes,created_by_id,created_at,updated_at
j0001-0000-0000-0000-000000000001,生活支援員（就労継続支援A型）,就労支援事業部,full_time,生活支援員,生活支援員（就労継続支援A型）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,250,320,埼玉県さいたま市,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,3,published,2025-11-23T19:20:55+09:00,2025-03-31,,u003,2025-10-22T19:20:55+09:00,2025-12-18T19:20:55+09:00
j0002-0000-0000-0000-000000000002,生活支援員（就労継続支援B型）,就労支援事業部,full_time,生活支援員,生活支援員（就労継続支援B型）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,240,300,埼玉県さいたま市,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,2,published,2025-11-07T19:20:55+09:00,2025-03-31,,u005,2025-10-08T19:20:55+09:00,2025-12-19T19:20:55+09:00
j0003-0000-0000-0000-000000000003,サービス管理責任者,就労支援事業部,full_time,サービス管理責任者,サービス管理責任者の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,350,450,埼玉県さいたま市,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,1,published,2025-11-06T19:20:55+09:00,2025-03-31,,u002,2025-10-12T19:20:55+09:00,2025-12-21T19:20:55+09:00
j0004-0000-0000-0000-000000000004,世話人（グループホーム）,生活支援事業部,part_time,世話人,世話人（グループホーム）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,,,埼玉県川口市,シフト制,社会保険完備、交通費支給、賞与年2回,4,published,2025-11-07T19:20:55+09:00,2025-03-31,,u001,2025-10-14T19:20:55+09:00,2025-12-12T19:20:55+09:00
j0005-0000-0000-0000-000000000005,生活支援員（グループホーム）,生活支援事業部,full_time,生活支援員,生活支援員（グループホーム）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,260,330,埼玉県川口市,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,2,published,2025-11-10T19:20:55+09:00,2025-03-31,,u003,2025-10-20T19:20:55+09:00,2025-12-23T19:20:55+09:00
j0006-0000-0000-0000-000000000006,相談支援専門員,相談支援事業部,full_time,相談支援専門員,相談支援専門員の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,320,400,埼玉県さいたま市,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,1,published,2025-11-05T19:20:55+09:00,2025-03-31,,u001,2025-10-09T19:20:55+09:00,2025-12-26T19:20:55+09:00
j0007-0000-0000-0000-000000000007,就労支援員（就労移行支援）,就労支援事業部,full_time,就労支援員,就労支援員（就労移行支援）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,280,350,埼玉県さいたま市,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,2,published,2025-11-02T19:20:55+09:00,2025-03-31,,u001,2025-10-30T19:20:55+09:00,2025-12-29T19:20:55+09:00
j0008-0000-0000-0000-000000000008,職業指導員（就労継続支援A型）,就労支援事業部,full_time,職業指導員,職業指導員（就労継続支援A型）の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,270,340,埼玉県さいたま市,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,2,published,2025-11-29T19:20:55+09:00,2025-03-31,,u004,2025-10-24T19:20:55+09:00,2025-12-27T19:20:55+09:00
j0009-0000-0000-0000-000000000009,児童発達支援管理責任者,生活支援事業部,full_time,児童発達支援管理責任者,児童発達支援管理責任者の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,350,450,埼玉県川越市,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,1,paused,,2025-03-31,,u001,2025-10-10T19:20:55+09:00,2025-12-22T19:20:55+09:00
j0010-0000-0000-0000-0000000000010,児童指導員,生活支援事業部,full_time,児童指導員,児童指導員の業務全般を担当していただきます。,詳細は面接時にご説明します。,経験者優遇,260,330,埼玉県川越市,8:30-17:30（シフト制あり）,社会保険完備、交通費支給、賞与年2回,3,paused,,2025-03-31,,u003,2025-10-09T19:20:55+09:00,2025-12-04T19:20:55+09:00
